blockcollect,ID,condition,correctcollect,p,trialcollect
train,4,m2,0.6666666666666666,0.0001350201518772509,10
train,4,m2,0.5,8.18027361617208e-05,11
train,4,m2,0.5833333333333334,0.0007315797098335664,12
train,4,m2,0.3333333333333333,0.011614511751258307,13
train,4,m2,0.5833333333333334,0.014159344189151069,14
train,4,m2,0.6666666666666666,0.01674195190826345,15
train,4,m2,0.6666666666666666,0.015361500475378653,16
train,4,m2,0.5833333333333334,0.017821026337011322,17
train,4,m2,0.3333333333333333,0.02031011976153299,18
train,4,m2,0.6666666666666666,0.022822740261111873,19
train,4,m2,0.6666666666666666,0.021041516293449917,20
train,4,m2,0.4166666666666667,0.023441850608652188,21
train,4,m2,0.3333333333333333,0.02586098057490243,22
train,4,m2,0.75,0.028294462697322068,23
train,4,m2,0.8333333333333334,0.0261932586558983,24
train,4,m2,0.5,0.02852566842655557,25
train,4,m2,1.0,0.030869765572728917,26
train,4,m2,0.4166666666666667,0.03322218092250997,27
train,4,m2,1.0,0.030863997586706826,28
train,4,m2,1.0,0.033125993743231705,29
train,4,m2,0.6666666666666666,0.03539489957034489,30
train,4,m2,0.6666666666666666,0.037668091415172335,31
train,4,m2,1.0,0.03510232339048689,32
train,4,m2,0.6666666666666666,0.03729481293259602,33
train,4,m2,0.6666666666666666,0.03949095557455762,34
train,4,m2,0.6666666666666666,0.04168865927887064,35
train,4,m2,0.6666666666666666,0.03895428613730491,36
train,4,m2,0.9166666666666666,0.04107997273657957,37
train,4,m2,0.4166666666666667,0.04320707057540928,38
train,4,m2,1.0,0.045333875921368574,39
train,4,m2,1.0,0.04246186867995231,40
test,4,ind,0.3333333333333333,1.648483842273098e-07,41
test,4,ind,0.5833333333333334,1.6202243599856236e-07,42
test,4,ind,0.5,1.289730585530892e-06,43
test,4,ind,0.5,2.1790261290289427e-06,44
test,4,ind,0.6666666666666666,0.03593756829551185,45
test,4,ind,0.6666666666666666,2.2380105874451055e-07,46
test,4,ind,0.3333333333333333,1.7753792796398232e-07,47
test,4,ind,0.5,7.320460518736745e-07,48
test,4,m1,0.5,2.002487020299887e-07,49
test,4,m1,0.5833333333333334,7.861557865843269e-07,50
test,4,m1,0.5,3.948215733330178e-06,51
test,4,m1,0.6666666666666666,5.220304557467815e-06,52
test,4,m1,0.5,5.698301737735107e-06,53
test,4,m1,0.5,4.153363313809249e-05,54
test,4,m1,0.4166666666666667,3.84996326992509e-05,55
test,4,m1,0.5,0.0008631490939790388,56
test,4,m2,0.3333333333333333,0.02160348188481871,57
test,4,m2,0.9166666666666666,0.023079134447871755,58
test,4,m2,1.0,0.02203116339230101,59
test,4,m2,0.3333333333333333,0.023485099146249022,60
test,4,m2,0.4166666666666667,0.02495402969607321,61
test,4,m2,0.6666666666666666,0.026436925441401523,62
test,4,m2,1.0,0.025179811949193033,63
test,4,m2,0.6666666666666666,0.026637821851822088,64
train,6,m1,0.5,0.00024411324500649462,1
train,6,m1,0.4166666666666667,5.55823838642921e-06,2
train,6,m1,0.4166666666666667,2.2356206405500735e-06,3
train,6,m1,0.5,8.404922656282925e-06,4
train,6,m1,0.16666666666666666,9.624552554484533e-06,5
train,6,m1,0.5833333333333334,1.8548234537391992e-06,6
train,6,m1,0.4166666666666667,1.9322629080821883e-06,7
train,6,m1,0.5833333333333334,3.114322878645404e-05,8
train,6,m1,0.3333333333333333,4.352649632820537e-05,9
train,6,m1,0.5833333333333334,4.330411304360377e-05,10
train,6,m1,0.5,2.4454025814231822e-05,11
train,6,m1,0.5833333333333334,4.7742597412703066e-05,12
train,6,m1,0.5833333333333334,0.0010129122713691929,13
train,6,m1,0.5833333333333334,0.0010414544445260213,14
train,6,m1,0.3333333333333333,0.0012495605686213746,15
train,6,m1,0.5833333333333334,0.0011159507924242468,16
train,6,m1,0.8333333333333334,0.0026813506911722235,17
train,6,m1,0.5,0.00284960022238696,18
train,6,m1,0.5833333333333334,0.003340888546641463,19
train,6,m1,0.25,0.003079640290804154,20
train,6,m1,0.5833333333333334,0.007961586507034216,21
