blockcollect,ID,condition,correctcollect,p,trialcollect
train,4,ind,0.5,0.003739198181362025,6
train,4,ind,0.42857142857142855,6.160235100725521e-07,7
train,4,ind,0.5714285714285714,0.001120906191202089,8
train,4,ind,0.2857142857142857,3.288473027167103e-05,9
train,4,ind,0.35714285714285715,3.1919993028461276e-05,10
train,4,ind,0.5,0.0001334241449058296,11
train,4,ind,0.5,0.01304102974185194,12
train,4,ind,0.35714285714285715,9.697811134176122e-07,13
train,4,ind,0.6428571428571429,4.553582090967957e-07,14
train,4,ind,0.2857142857142857,3.5501055273468884e-08,15
train,4,ind,0.5,1.0425726973007238e-05,16
train,4,ind,0.42857142857142855,0.00019588371517011632,17
train,4,ind,0.5714285714285714,8.295678988705123e-05,18
train,4,ind,0.42857142857142855,2.022661500033801e-05,19
train,4,ind,0.21428571428571427,1.3323233518319576e-05,20
train,4,ind,0.42857142857142855,2.6537264029169186e-06,21
train,4,ind,0.35714285714285715,0.00025006405275777,22
train,4,ind,0.42857142857142855,0.0031911965870968654,23
train,4,ind,0.6428571428571429,0.0003557517897620836,24
train,4,ind,0.2857142857142857,0.007134856936333989,25
train,4,ind,0.42857142857142855,3.644559905328498e-05,26
train,4,ind,0.2857142857142857,0.00023949228746269753,27
train,4,ind,0.42857142857142855,0.0024454098787544264,28
train,4,ind,0.42857142857142855,1.664327941725202e-05,29
train,4,ind,0.42857142857142855,0.017612262824451344,30
train,4,ind,0.42857142857142855,5.596536060201852e-07,31
train,4,ind,0.6428571428571429,0.0003961622201536313,32
train,4,ind,0.6428571428571429,0.0006419301578464145,33
train,4,ind,0.5714285714285714,2.5194602479372567e-05,34
train,4,ind,0.2857142857142857,6.112996522641384e-05,35
train,4,ind,0.5,4.119831213624767e-06,36
train,4,ind,0.42857142857142855,0.00034435710605465214,37
train,4,ind,0.2857142857142857,0.0009341225006822644,38
train,4,ind,0.2857142857142857,0.00010094940276503476,39
train,4,ind,0.35714285714285715,0.0013635881715700667,40
test,4,ind,0.42857142857142855,0.0007603245383830092,41
test,4,ind,0.5,2.029109073594901e-05,42
test,4,ind,0.2857142857142857,0.000219526278055606,43
