blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,2,ind,0.5,5.870852196690012e-08,37,5.4794393835177646e-08
train,2,ind,0.5,1.4435661999041188e-07,38,1.7036180446449426e-08
train,2,ind,0.3333333333333333,2.004777215854732e-07,39,1.7353997841101528e-07
train,2,ind,0.4166666666666667,2.7034723413917784e-07,40,1.1374566997170572e-07
test,2,m1,0.5,0.00045967810246068646,41,6.661357611359856e-19
test,2,m1,0.5833333333333334,6.652567710945071e-05,42,1.2602756980698376e-15
test,2,m1,0.6666666666666666,9.793770676842092e-06,43,9.270492058562902e-13
test,2,m1,0.8333333333333334,0.0001734024600520606,44,1.453175592167082e-12
test,2,m1,0.75,0.0005126275364378556,45,1.4266074756599336e-11
test,2,m1,0.25,0.00025749987926155274,46,9.47719843666596e-11
test,2,m1,0.5833333333333334,4.245825312278082e-05,47,4.2979229787039733e-10
test,2,m1,0.5833333333333334,0.0011699063388487443,48,1.5637171142362082e-09
test,2,m2,0.6666666666666666,0.0002528841241426582,49,4.696678063304704e-09
test,2,m2,0.6666666666666666,0.00018679696930979872,50,1.1327624565424335e-08
test,2,m2,0.5833333333333334,0.00012809656418232257,51,1.3394164504736051e-08
test,2,m2,0.6666666666666666,0.00029697105394716703,52,4.899023221147397e-08
test,2,m2,0.5,0.0002271117581857101,53,9.59087543191349e-08
test,2,m2,0.6666666666666666,0.0005465259392591162,54,1.7342131043869606e-07
test,2,m2,0.5833333333333334,1.0989376251747732e-05,55,3.070047285840762e-07
test,2,m2,0.4166666666666667,6.745200262849278e-05,56,4.705647657332647e-07
test,2,ind,0.5833333333333334,0.00012000092679220174,57,7.493427589554352e-07
test,2,ind,0.5,0.0003495737736899557,58,1.0721426670332104e-06
test,2,ind,0.3333333333333333,9.316253726493088e-05,59,1.602216435750753e-06
test,2,ind,0.5,0.00017037805936952321,60,2.083321725388536e-06
test,2,ind,0.6666666666666666,9.632925377201122e-05,61,2.8671133858058174e-06
test,2,ind,0.5833333333333334,0.000644735935881569,62,3.838095509922541e-06
test,2,ind,0.6666666666666666,8.139062774004403e-05,63,4.972574338789043e-06
test,2,ind,0.3333333333333333,0.0002163619793556928,64,6.319758052425501e-06
train,3,m2,0.5,0.023661985097387653,1,0.00024413059025702317
train,3,m2,0.5,0.028013353713958997,2,4.3833908156095635e-06
train,3,m2,0.4166666666666667,3.780190430462859e-05,3,1.4849417031236382e-05
train,3,m2,0.3333333333333333,0.00015683002532410347,4,3.41483930824189e-06
train,3,m2,0.5,0.011783638437221152,5,5.615732583427612e-10
train,3,m2,0.4166666666666667,4.42227564179012e-07,6,5.150409970912458e-06
train,3,m2,0.08333333333333333,5.143214702022302e-05,7,2.6266808986295787e-07
train,3,m2,0.6666666666666666,9.063785148072964e-05,8,6.817286340417222e-07
train,3,m2,0.4166666666666667,7.337124712380305e-06,9,3.7858561954874336e-06
train,3,m2,0.16666666666666666,0.0030143904559407253,10,6.305392838947244e-07
train,3,m2,0.75,8.50131351927905e-05,11,4.043268464906148e-09
train,3,m2,0.4166666666666667,2.9299953146862857e-05,12,2.9644938284065677e-07
train,3,m2,0.5,0.00697168233240112,13,3.682772726738787e-09
train,3,m2,0.25,3.202262520108829e-05,14,7.62092087186631e-07
train,3,m2,0.3333333333333333,5.514334066799754e-08,15,7.900083870271597e-09
train,3,m2,0.3333333333333333,1.584523462536678e-08,16,3.4139829578479194e-08
train,3,m2,0.25,1.9681282591857636e-06,17,4.111239818656493e-08
train,3,m2,0.5,0.007011399204452333,18,5.974162297134603e-08
train,3,m2,0.5833333333333334,0.0012213898048675858,19,1.5186869149589294e-07
train,3,m2,0.3333333333333333,1.6415017174017626e-06,20,3.297993573847088e-07
train,3,m2,0.5,3.3680089158488165e-07,21,1.5447909686476364e-07
train,3,m2,0.5833333333333334,0.0013975306685563617,22,5.397437128281243e-07
train,3,m2,0.5,1.6547492010657725e-07,23,1.0683314270563706e-07
