ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect
1,m2,L,L,42,1
1,m2,F,L,42,0
1,m2,F,F,42,1
1,m2,F,F,42,1
1,m2,L,L,42,1
1,m2,L,L,42,1
1,m2,F,L,42,0
1,m2,F,L,42,0
1,m2,F,F,42,1
1,m2,L,L,43,1
1,m2,L,L,43,1
1,m2,L,L,43,1
1,m2,F,F,43,1
1,m2,F,F,43,1
1,m2,L,L,43,1
1,m2,L,L,43,1
1,m2,F,F,43,1
1,m2,F,F,43,1
1,m2,F,F,43,1
1,m2,F,F,43,1
1,m2,L,L,43,1
1,m2,F,F,44,1
1,m2,F,F,44,1
1,m2,F,F,44,1
1,m2,L,L,44,1
1,m2,L,L,44,1
1,m2,F,F,44,1
1,m2,F,F,44,1
1,m2,L,L,44,1
1,m2,L,L,44,1
1,m2,L,L,44,1
1,m2,F,L,44,0
1,m2,F,F,44,1
1,m2,L,L,45,1
1,m2,L,L,45,1
1,m2,F,L,45,0
1,m2,F,F,45,1
1,m2,L,F,45,0
1,m2,L,L,45,1
1,m2,L,L,45,1
1,m2,F,F,45,1
1,m2,F,F,45,1
1,m2,F,F,45,1
1,m2,F,F,45,1
1,m2,F,L,45,0
1,m2,F,F,46,1
1,m2,F,F,46,1
1,m2,F,F,46,1
1,m2,L,L,46,1
1,m2,L,L,46,1
1,m2,F,F,46,1
1,m2,F,F,46,1
1,m2,L,L,46,1
1,m2,L,L,46,1
1,m2,L,L,46,1
1,m2,L,L,46,1
1,m2,L,F,46,0
1,m2,L,L,47,1
1,m2,L,L,47,1
1,m2,L,L,47,1
1,m2,F,F,47,1
1,m2,F,F,47,1
1,m2,L,L,47,1
1,m2,L,L,47,1
1,m2,L,F,47,0
1,m2,F,F,47,1
1,m2,F,F,47,1
1,m2,L,F,47,0
1,m2,L,L,47,1
1,m2,F,F,48,1
1,m2,L,F,48,0
1,m2,F,F,48,1
1,m2,F,L,48,0
1,m2,L,L,48,1
1,m2,L,F,48,0
1,m2,F,F,48,1
1,m2,F,L,48,0
1,m2,F,L,48,0
1,m2,L,L,48,1
1,m2,L,L,48,1
1,m2,L,F,48,0
1,m1,F,F,49,1
1,m1,L,L,49,1
1,m1,F,L,49,0
1,m1,F,L,49,0
1,m1,F,L,49,0
1,m1,L,L,49,1
1,m1,L,F,49,0
1,m1,F,F,49,1
1,m1,F,F,49,1
1,m1,F,F,49,1
1,m1,L,L,49,1
1,m1,L,F,49,0
1,m1,L,L,50,1
1,m1,F,F,50,1
1,m1,F,F,50,1
1,m1,F,F,50,1
1,m1,F,F,50,1
1,m1,F,F,50,1
1,m1,L,L,50,1
1,m1,L,L,50,1
1,m1,F,L,50,0
1,m1,F,L,50,0
1,m1,F,F,50,1
1,m1,F,L,50,0
1,m1,F,F,51,1
1,m1,F,L,51,0
1,m1,F,L,51,0
1,m1,L,L,51,1
1,m1,L,L,51,1
1,m1,F,L,51,0
1,m1,F,F,51,1
1,m1,L,F,51,0
1,m1,L,F,51,0
1,m1,L,F,51,0
1,m1,L,L,51,1
1,m1,F,F,51,1
1,m1,L,L,52,1
1,m1,L,F,52,0
1,m1,F,F,52,1
1,m1,F,F,52,1
1,m1,L,F,52,0
1,m1,L,F,52,0
1,m1,F,L,52,0
1,m1,F,L,52,0
1,m1,F,L,52,0
1,m1,F,L,52,0
1,m1,L,F,52,0
1,m1,L,L,52,1
1,m1,F,F,53,1
1,m1,F,L,53,0
1,m1,F,L,53,0
1,m1,L,L,53,1
1,m1,L,L,53,1
1,m1,F,L,53,0
1,m1,F,F,53,1
1,m1,L,F,53,0
1,m1,L,F,53,0
1,m1,L,F,53,0
1,m1,L,L,53,1
1,m1,L,F,53,0
1,m1,L,L,54,1
1,m1,L,F,54,0
1,m1,L,F,54,0
1,m1,F,F,54,1
1,m1,F,F,54,1
1,m1,L,F,54,0
1,m1,L,L,54,1
1,m1,F,L,54,0
1,m1,F,L,54,0
1,m1,F,L,54,0
1,m1,F,F,54,1
1,m1,L,L,54,1
1,m1,F,F,55,1
1,m1,L,L,55,1
1,m1,L,L,55,1
1,m1,L,L,55,1
1,m1,L,L,55,1
1,m1,L,L,55,1
1,m1,F,F,55,1
1,m1,F,F,55,1
1,m1,F,F,55,1
1,m1,F,F,55,1
1,m1,L,L,55,1
1,m1,L,F,55,0
1,m1,L,L,56,1
1,m1,L,F,56,0
1,m1,L,F,56,0
1,m1,F,F,56,1
1,m1,F,F,56,1
1,m1,L,F,56,0
1,m1,L,L,56,1
1,m1,F,L,56,0
1,m1,F,L,56,0
1,m1,F,L,56,0
1,m1,F,F,56,1
1,m1,L,L,56,1
1,ind,L,L,57,1
1,ind,F,F,57,1
1,ind,F,L,57,0
1,ind,F,L,57,0
1,ind,F,F,57,1
1,ind,F,L,57,0
1,ind,L,F,57,0
1,ind,L,F,57,0
1,ind,L,L,57,1
1,ind,L,F,57,0
1,ind,F,L,57,0
1,ind,F,F,57,1
1,ind,F,F,58,1
1,ind,F,F,58,1
1,ind,L,L,58,1
1,ind,L,F,58,0
1,ind,F,L,58,0
1,ind,F,F,58,1
1,ind,L,L,58,1
1,ind,L,L,58,1
1,ind,L,F,58,0
1,ind,L,F,58,0
1,ind,F,L,58,0
1,ind,F,L,58,0
1,ind,L,L,59,1
1,ind,L,F,59,0
1,ind,F,L,59,0
1,ind,F,F,59,1
1,ind,L,F,59,0
1,ind,L,F,59,0
1,ind,F,L,59,0
1,ind,F,L,59,0
1,ind,F,L,59,0
1,ind,F,F,59,1
1,ind,L,F,59,0
1,ind,L,L,59,1
1,ind,F,F,60,1
1,ind,F,L,60,0
1,ind,L,F,60,0
1,ind,L,F,60,0
1,ind,F,L,60,0
1,ind,L,F,60,0
1,ind,F,L,60,0
1,ind,F,F,60,1
1,ind,F,L,60,0
1,ind,L,F,60,0
1,ind,L,L,60,1
1,ind,F,L,60,0
1,ind,L,L,61,1
1,ind,L,L,61,1
1,ind,L,L,61,1
1,ind,F,F,61,1
1,ind,F,F,61,1
1,ind,L,L,61,1
1,ind,L,L,61,1
1,ind,F,F,61,1
1,ind,F,F,61,1
1,ind,F,L,61,0
1,ind,F,F,61,1
1,ind,L,F,61,0
1,ind,L,L,62,1
1,ind,F,L,62,0
1,ind,F,F,62,1
1,ind,F,L,62,0
1,ind,F,F,62,1
1,ind,F,L,62,0
1,ind,L,F,62,0
1,ind,L,L,62,1
1,ind,L,F,62,0
1,ind,L,F,62,0
1,ind,F,L,62,0
1,ind,F,F,62,1
1,ind,F,F,63,1
1,ind,L,F,63,0
1,ind,L,L,63,1
1,ind,L,L,63,1
1,ind,L,F,63,0
1,ind,L,L,63,1
1,ind,L,F,63,0
1,ind,L,L,63,1
1,ind,L,L,63,1
1,ind,L,F,63,0
1,ind,L,F,63,0
1,ind,L,L,63,1
1,ind,F,F,64,1
1,ind,F,F,64,1
1,ind,F,F,64,1
1,ind,L,L,64,1
1,ind,L,L,64,1
1,ind,F,F,64,1
1,ind,F,L,64,0
1,ind,L,F,64,0
1,ind,L,F,64,0
1,ind,L,L,64,1
1,ind,L,L,64,1
1,ind,F,L,64,0
2,ind,L,L,1,1
2,ind,D,D,1,1
2,ind,L,D,1,0
2,ind,L,L,1,1
2,ind,L,D,1,0
2,ind,L,D,1,0
2,ind,L,L,1,1
2,ind,L,D,1,0
2,ind,L,L,1,1
2,ind,L,D,1,0
2,ind,L,L,1,1
2,ind,L,L,1,1
2,ind,L,L,2,1
2,ind,L,K,2,0
2,ind,K,L,2,0
2,ind,K,L,2,0
2,ind,K,L,2,0
2,ind,K,K,2,1
2,ind,L,L,2,1
2,ind,L,L,2,1
2,ind,K,K,2,1
2,ind,K,K,2,1
2,ind,K,K,2,1
2,ind,L,K,2,0
2,ind,S,S,3,1
2,ind,D,S,3,0
2,ind,D,S,3,0
2,ind,D,D,3,1
2,ind,D,S,3,0
2,ind,S,S,3,1
2,ind,D,S,3,0
2,ind,D,D,3,1
2,ind,D,D,3,1
2,ind,D,D,3,1
2,ind,D,D,3,1
2,ind,D,D,3,1
2,ind,L,L,4,1
2,ind,L,L,4,1
2,ind,S,S,4,1
2,ind,S,S,4,1
2,ind,S,S,4,1
2,ind,S,L,4,0
2,ind,S,L,4,0
2,ind,S,L,4,0
2,ind,S,L,4,0
2,ind,S,S,4,1
2,ind,L,S,4,0
2,ind,L,S,4,0
2,ind,L,L,5,1
2,ind,K,K,5,1
2,ind,K,L,5,0
2,ind,K,K,5,1
2,ind,K,K,5,1
2,ind,K,L,5,0
2,ind,K,K,5,1
2,ind,L,K,5,0
2,ind,K,L,5,0
2,ind,K,L,5,0
2,ind,L,K,5,0
2,ind,L,L,5,1
2,ind,D,D,6,1
2,ind,K,K,6,1
2,ind,D,D,6,1
2,ind,D,K,6,0
2,ind,K,K,6,1
2,ind,K,K,6,1
2,ind,D,K,6,0
2,ind,D,D,6,1
2,ind,K,D,6,0
2,ind,K,D,6,0
2,ind,D,K,6,0
2,ind,K,D,6,0
2,ind,L,L,7,1
2,ind,S,L,7,0
2,ind,S,L,7,0
2,ind,S,L,7,0
2,ind,L,S,7,0
2,ind,S,L,7,0
2,ind,L,S,7,0
2,ind,S,S,7,1
2,ind,S,S,7,1
2,ind,S,S,7,1
2,ind,S,L,7,0
2,ind,S,S,7,1
2,ind,L,L,8,1
2,ind,L,L,8,1
2,ind,K,K,8,1
2,ind,K,K,8,1
2,ind,L,L,8,1
2,ind,K,K,8,1
2,ind,K,K,8,1
2,ind,K,K,8,1
2,ind,L,L,8,1
2,ind,K,K,8,1
2,ind,L,L,8,1
2,ind,L,L,8,1
2,ind,K,K,9,1
2,ind,K,D,9,0
2,ind,K,K,9,1
2,ind,K,K,9,1
2,ind,D,D,9,1
2,ind,D,D,9,1
2,ind,D,K,9,0
2,ind,D,K,9,0
2,ind,K,D,9,0
2,ind,D,D,9,1
2,ind,D,K,9,0
2,ind,D,D,9,1
2,ind,L,L,10,1
2,ind,S,L,10,0
2,ind,L,L,10,1
2,ind,L,S,10,0
2,ind,L,S,10,0
2,ind,S,S,10,1
2,ind,S,L,10,0
2,ind,L,S,10,0
2,ind,L,L,10,1
2,ind,L,S,10,0
2,ind,S,S,10,1
2,ind,S,L,10,0
2,ind,D,D,11,1
2,ind,D,S,11,0
2,ind,S,S,11,1
2,ind,S,S,11,1
2,ind,D,D,11,1
2,ind,D,D,11,1
2,ind,D,D,11,1
2,ind,S,S,11,1
2,ind,S,D,11,0
2,ind,D,D,11,1
2,ind,D,S,11,0
2,ind,S,S,11,1
2,ind,L,L,12,1
2,ind,L,L,12,1
2,ind,K,K,12,1
2,ind,K,K,12,1
2,ind,L,L,12,1
2,ind,L,L,12,1
2,ind,L,K,12,0
2,ind,L,L,12,1
2,ind,L,K,12,0
2,ind,K,K,12,1
2,ind,K,K,12,1
2,ind,L,L,12,1
2,ind,S,S,13,1
2,ind,S,S,13,1
2,ind,L,L,13,1
2,ind,S,S,13,1
2,ind,L,L,13,1
2,ind,L,S,13,0
2,ind,L,L,13,1
2,ind,S,S,13,1
2,ind,L,L,13,1
2,ind,S,L,13,0
2,ind,S,S,13,1
2,ind,L,L,13,1
2,ind,K,K,14,1
2,ind,K,L,14,0
2,ind,K,L,14,0
2,ind,L,K,14,0
2,ind,K,K,14,1
2,ind,K,K,14,1
2,ind,K,L,14,0
2,ind,L,K,14,0
2,ind,L,L,14,1
2,ind,K,K,14,1
2,ind,L,L,14,1
2,ind,L,L,14,1
2,ind,D,D,15,1
2,ind,S,S,15,1
2,ind,S,S,15,1
2,ind,S,D,15,0
2,ind,D,S,15,0
2,ind,D,D,15,1
2,ind,S,S,15,1
2,ind,S,D,15,0
2,ind,D,D,15,1
2,ind,D,S,15,0
2,ind,D,D,15,1
2,ind,S,S,15,1
2,ind,L,L,16,1
2,ind,S,L,16,0
2,ind,S,S,16,1
2,ind,L,S,16,0
2,ind,S,S,16,1
2,ind,S,L,16,0
2,ind,S,S,16,1
2,ind,L,S,16,0
2,ind,S,L,16,0
2,ind,L,L,16,1
2,ind,S,L,16,0
2,ind,L,S,16,0
2,ind,D,D,17,1
2,ind,S,S,17,1
2,ind,S,S,17,1
2,ind,S,D,17,0
2,ind,D,D,17,1
2,ind,S,D,17,0
2,ind,D,S,17,0
2,ind,S,D,17,0
2,ind,S,S,17,1
2,ind,D,D,17,1
2,ind,S,S,17,1
2,ind,D,S,17,0
2,ind,S,S,18,1
2,ind,K,K,18,1
2,ind,S,K,18,0
2,ind,K,K,18,1
2,ind,K,S,18,0
2,ind,S,K,18,0
2,ind,S,K,18,0
2,ind,S,S,18,1
2,ind,K,S,18,0
2,ind,S,K,18,0
2,ind,K,S,18,0
2,ind,K,S,18,0
2,ind,K,K,19,1
2,ind,D,K,19,0
2,ind,D,D,19,1
2,ind,K,K,19,1
2,ind,K,D,19,0
2,ind,K,K,19,1
2,ind,D,D,19,1
2,ind,D,K,19,0
2,ind,K,D,19,0
2,ind,D,D,19,1
2,ind,D,D,19,1
2,ind,D,K,19,0
2,ind,K,K,20,1
2,ind,L,K,20,0
2,ind,L,K,20,0
2,ind,L,L,20,1
2,ind,K,K,20,1
2,ind,K,L,20,0
2,ind,K,L,20,0
2,ind,L,K,20,0
2,ind,L,K,20,0
2,ind,K,L,20,0
2,ind,K,L,20,0
2,ind,K,L,20,0
2,ind,S,S,21,1
2,ind,D,S,21,0
2,ind,D,S,21,0
2,ind,S,D,21,0
2,ind,D,D,21,1
2,ind,D,S,21,0
2,ind,D,S,21,0
2,ind,S,D,21,0
2,ind,D,D,21,1
2,ind,S,D,21,0
2,ind,D,S,21,0
2,ind,D,D,21,1
2,ind,K,K,22,1
2,ind,L,L,22,1
2,ind,L,L,22,1
2,ind,K,K,22,1
2,ind,L,K,22,0
2,ind,K,K,22,1
2,ind,L,L,22,1
2,ind,L,K,22,0
2,ind,L,L,22,1
2,ind,L,L,22,1
2,ind,L,K,22,0
2,ind,L,L,22,1
2,ind,D,D,23,1
2,ind,K,K,23,1
2,ind,D,D,23,1
2,ind,K,D,23,0
2,ind,K,D,23,0
2,ind,D,K,23,0
2,ind,D,K,23,0
2,ind,D,K,23,0
2,ind,K,K,23,1
2,ind,K,D,23,0
2,ind,D,K,23,0
2,ind,D,D,23,1
2,ind,D,D,24,1
2,ind,D,L,24,0
2,ind,L,L,24,1
2,ind,L,D,24,0
2,ind,L,D,24,0
2,ind,D,L,24,0
2,ind,D,D,24,1
2,ind,D,L,24,0
2,ind,L,L,24,1
2,ind,L,D,24,0
2,ind,D,L,24,0
2,ind,D,D,24,1
2,ind,K,K,25,1
2,ind,K,S,25,0
2,ind,S,S,25,1
2,ind,K,K,25,1
2,ind,S,K,25,0
2,ind,S,S,25,1
2,ind,S,K,25,0
2,ind,K,K,25,1
2,ind,S,K,25,0
2,ind,K,S,25,0
2,ind,S,S,25,1
2,ind,S,S,25,1
2,ind,K,K,26,1
