blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
test,1,ind,0.5,0.0014188355096688302,60,9.187079486114961e-08
test,1,ind,0.5,0.002368159778047482,61,2.852949541552991e-10
test,1,ind,0.5833333333333334,0.0001914011390854879,62,1.2832199025289282e-07
test,1,ind,0.5,0.01668763235046392,63,3.517657192452748e-08
test,1,ind,0.3333333333333333,0.018520447797314758,64,9.979093309520948e-09
train,2,ind,0.5833333333333334,0.08810694010464101,1,7.725593385836396e-06
train,2,ind,0.5833333333333334,0.028700629564034685,2,6.946925311067266e-07
train,2,ind,0.16666666666666666,0.003318683452519694,3,1.6293745941780916e-08
train,2,ind,0.4166666666666667,0.014324502882970632,4,2.332071629692173e-08
train,2,ind,0.08333333333333333,0.01485302847520064,5,1.207820120474012e-07
train,2,ind,0.16666666666666666,0.03467950960986104,6,2.1571371386194314e-09
train,2,ind,0.5,0.0009121179173442623,7,2.209082399536877e-09
train,2,ind,0.25,0.017665263286849763,8,5.347826797041143e-08
train,2,ind,0.5,8.701314787281585e-06,9,4.052694285510157e-08
train,2,ind,0.3333333333333333,0.004635747134260457,10,2.3900445860964034e-08
train,2,ind,0.3333333333333333,9.80182475890999e-06,11,7.924737042453367e-08
train,2,ind,0.25,0.00024398889776595947,12,9.528278930134593e-08
train,2,ind,0.3333333333333333,0.021335735726960067,13,1.1135537695049347e-08
train,2,ind,0.4166666666666667,0.00015671012792011489,14,5.355762606478219e-08
train,2,ind,0.3333333333333333,0.0019463370418731473,15,6.013542105902014e-10
train,2,ind,0.3333333333333333,0.0009363120932888139,16,9.466368853033946e-09
train,2,ind,0.08333333333333333,0.01153791186993559,17,1.0419353097573042e-10
train,2,ind,0.16666666666666666,0.00010195784535321579,18,6.5754985854072695e-09
train,2,ind,0.3333333333333333,0.006802254419455936,19,8.798620748020483e-09
train,2,ind,0.3333333333333333,0.0005576717197479444,20,1.946577977283707e-07
train,2,ind,0.4166666666666667,0.0008190736266874045,21,2.9553108366330624e-08
train,2,ind,0.5,0.0007062734378886326,22,2.534689207278408e-07
