blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,ind,0.16666666666666666,1.2717975662672375e-05,28,2.2031183037907e-09
train,1,ind,0.5,7.110450821310608e-05,29,2.2037392874883273e-09
train,1,ind,0.75,0.0006895142601709349,30,2.204270591158252e-09
train,1,ind,0.25,0.00010147579716923873,31,2.2047260919285293e-09
train,1,ind,0.08333333333333333,0.00025940966973643807,32,2.205117303830545e-09
train,1,ind,0.25,4.553061717996201e-05,33,2.2054538236725133e-09
train,1,ind,0.3333333333333333,0.0004307134809312288,34,2.2057436840689256e-09
train,1,ind,0.4166666666666667,0.00030797981434132945,35,2.205993634780667e-09
train,1,ind,0.3333333333333333,1.1433727845754203e-05,36,2.2062093682951827e-09
train,1,ind,0.5,4.702435802562405e-05,37,2.206395701738088e-09
train,1,ind,0.08333333333333333,7.243683054549907e-05,38,2.2065567243635917e-09
train,1,ind,0.4166666666666667,7.366745447884091e-05,39,2.206695917746821e-09
train,1,ind,0.08333333333333333,0.0001049885745687071,40,2.3030271668946925e-09
test,1,m1,0.4166666666666667,0.00011307348434621577,41,2.7618676228307753e-10
test,1,m1,0.5,4.031056911713513e-05,42,2.3978304351643175e-09
test,1,m1,0.5,4.932457070502543e-07,43,2.2457412451513164e-09
test,1,m1,0.25,9.06509157514357e-06,44,3.3887387854972993e-10
test,1,m1,0.5,2.519520394824877e-06,45,8.727826437017052e-10
test,1,m1,0.5833333333333334,1.0565650735187226e-06,46,1.1183653549255682e-09
test,1,m1,0.3333333333333333,3.274545213491847e-05,47,1.1816851479299197e-09
test,1,m1,0.16666666666666666,1.883563173497895e-06,48,4.14117186321613e-09
test,1,m1,0.4166666666666667,4.4481977920847474e-07,49,1.6852691486111315e-09
test,1,m1,0.25,2.917441501933144e-07,50,3.0937598859565373e-09
test,1,m1,0.3333333333333333,1.4227817973083285e-07,51,1.0645679783906129e-09
test,1,m1,0.4166666666666667,4.3465903379790264e-07,52,8.917392396198154e-10
test,1,m1,0.25,1.459038208149993e-08,53,4.266799864512161e-09
test,1,m1,0.3333333333333333,2.2601361336933617e-07,54,1.7887278015587956e-09
test,1,m1,0.16666666666666666,8.823323438626373e-08,55,3.101007291263897e-09
test,1,m1,0.16666666666666666,4.0313566743741946e-07,56,4.743853482310495e-09
test,1,m1,0.25,2.180568143214635e-07,57,1.0957558152758315e-09
test,1,m1,0.4166666666666667,6.952659291245284e-08,58,2.167473083329274e-10
test,1,m1,0.4166666666666667,5.82460334416666e-06,59,3.1068293173869475e-10
test,1,m1,0.4166666666666667,5.272992176204053e-07,60,9.47813578408068e-09
test,1,m1,0.25,3.153075553978578e-08,61,6.648109515077488e-10
test,1,m1,0.25,3.2089854385819507e-07,62,2.1038730031190162e-09
test,1,m1,0.4166666666666667,2.364600344114808e-07,63,2.8962987760436203e-09
test,1,m1,0.16666666666666666,4.684488506045298e-08,64,7.00101384249512e-10
train,2,m1,0.5833333333333334,0.12379581280603608,1,1.157107321560652e-09
train,2,m1,0.3333333333333333,2.276244652778062e-05,2,1.7364057650224216e-09
train,2,m1,0.5833333333333334,0.0003756063995818184,3,9.876101571198489e-10
train,2,m1,0.5833333333333334,0.000190226499664647,4,4.850023914189797e-10
train,2,m1,0.4166666666666667,1.2012584647470552e-05,5,8.711509137472977e-10
train,2,m1,0.16666666666666666,1.2996219809596362e-06,6,9.444914625536668e-10
train,2,m1,0.25,1.9658700083766859e-07,7,1.1271286413222298e-09
train,2,m1,0.4166666666666667,9.19197728152172e-07,8,1.379268172663722e-09
train,2,m1,0.4166666666666667,0.0002841633416276488,9,8.424703143995343e-10
train,2,m1,0.4166666666666667,1.590485594786528e-07,10,8.948838372455965e-10
train,2,m1,0.5,9.885931241554853e-06,11,1.082691248931301e-09
train,2,m1,0.4166666666666667,2.8279238552757227e-05,12,9.500684364422768e-10
train,2,m1,0.3333333333333333,1.3807045247938394e-05,13,5.909345410592202e-09
train,2,m1,0.5,2.61778038218446e-06,14,1.2758233644806297e-09
train,2,m1,0.5,1.6636463588249265e-06,15,4.303921431238146e-10
train,2,m1,0.25,1.3206576261743799e-06,16,9.91044504163527e-10
train,2,m1,0.08333333333333333,7.741901463142562e-07,17,7.189262197764282e-10
train,2,m1,0.3333333333333333,4.571923424812355e-06,18,8.878450665593968e-10
train,2,m1,0.25,7.727327310646679e-07,19,1.0284790348774959e-09
train,2,m1,0.5,1.3053913052525329e-06,20,3.7769533783930655e-10
train,2,m1,0.16666666666666666,2.093535871800057e-05,21,1.0082547955388836e-09
train,2,m1,0.25,1.9086865481335897e-06,22,1.0463860091923141e-09
train,2,m1,0.3333333333333333,2.595165928695548e-06,23,4.504634450635102e-10
train,2,m1,0.3333333333333333,3.446515598263385e-06,24,5.150637952641094e-10
train,2,m1,0.4166666666666667,1.0405626822021639e-06,25,1.0567151562981846e-09
train,2,m1,0.25,1.803810064399479e-06,26,5.058626331033557e-10
train,2,m1,0.25,3.3274360747687242e-06,27,8.359460162804407e-10
train,2,m1,0.4166666666666667,1.6246580632783207e-06,28,1.257126011969644e-09
train,2,m1,0.16666666666666666,2.816101557482422e-07,29,1.6036151524844854e-09
train,2,m1,0.4166666666666667,1.9370377699231913e-06,30,2.0164636133045287e-09
train,2,m1,0.16666666666666666,3.3490211801832516e-06,31,1.95137892472622e-09
train,2,m1,0.25,1.259969195201419e-06,32,1.8695109936774094e-09
train,2,m1,0.25,7.543411592637905e-07,33,2.085088602932734e-09
train,2,m1,0.25,1.0001716272691687e-06,34,1.0442196258856735e-09
train,2,m1,0.25,7.762800906432414e-07,35,2.3599596884321435e-09
train,2,m1,0.5,1.3922576138256533e-05,36,9.915032740561976e-10
train,2,m1,0.3333333333333333,1.6211425333852025e-07,37,3.289061333554052e-10
train,2,m1,0.16666666666666666,1.8047273434157073e-06,38,1.126479810996255e-09
train,2,m1,0.25,7.673986908985805e-07,39,9.968578403466748e-10
train,2,m1,0.08333333333333333,8.606759745935284e-07,40,2.0738345537720344e-09
test,2,m1,0.08333333333333333,1.652230567534882e-08,41,1.6214826736764085e-10
test,2,m1,0.16666666666666666,3.904916477071401e-07,42,3.491148320164906e-10
test,2,m1,0.25,2.8994248594968083e-06,43,9.184866406351638e-10
test,2,m1,0.25,1.5591181935377176e-07,44,3.6031983164833156e-10
test,2,m1,0.3333333333333333,3.16591774708517e-07,45,1.324437090432966e-09
test,2,m1,0.3333333333333333,5.409940252545623e-09,46,1.1968782913287988e-09
test,2,m1,0.08333333333333333,5.082563608160281e-08,47,3.3852523299279425e-09
test,2,m1,0.25,6.025841614503589e-08,48,4.401397116116314e-10
test,2,m1,0.4166666666666667,3.9573505245935996e-07,49,5.570043225962865e-10
test,2,m1,0.16666666666666666,1.6255543482095767e-07,50,4.2278117989257317e-10
test,2,m1,0.25,6.782011014346105e-07,51,1.015454168892842e-09
test,2,m1,0.16666666666666666,3.73221489284968e-08,52,8.634915604913722e-10
test,2,m1,0.16666666666666666,1.248314210184566e-07,53,8.654931715691389e-10
test,2,m1,0.16666666666666666,3.6265936291563955e-09,54,8.287434911558365e-10
test,2,m1,0.25,2.2207889015698588e-08,55,1.2169646575664156e-09
test,2,m1,0.25,1.0341385809596284e-06,56,9.903524912133372e-10
test,2,m1,0.3333333333333333,1.2921885780950078e-08,57,1.4740556693191873e-09
test,2,m1,0.25,4.414463727590988e-08,58,2.0036465623205222e-09
test,2,m1,0.25,1.1915939562930124e-08,59,9.128272828453383e-10
