blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,2,m1,0.4166666666666667,0.0072968038243709,4,1.3792910569888552e-10
train,2,m1,0.3333333333333333,0.0011671755182151077,5,1.1274695230755624e-10
train,2,m1,0.25,0.0324855547151854,6,3.404291458645037e-09
train,2,m1,0.6666666666666666,0.024670782972717423,7,7.76570609394413e-09
train,2,m1,0.08333333333333333,0.00207520017640427,8,3.2503307681566315e-09
train,2,m1,0.3333333333333333,0.0020335539873922994,9,2.009833288849741e-11
train,2,m1,0.25,0.017546074702061626,10,1.7562753262402411e-09
train,2,m1,0.4166666666666667,4.968242341092085e-05,11,9.03114803694602e-11
train,2,m1,0.25,0.00043166513566330765,12,2.947572417299958e-09
train,2,m1,0.16666666666666666,8.15215561513052e-05,13,1.460305878186824e-09
train,2,m1,0.25,0.0025523882593494157,14,4.405305116864059e-09
train,2,m1,0.3333333333333333,0.00017533733446485907,15,6.941656582792479e-09
train,2,m1,0.25,0.0017607301733739964,16,7.382159671552407e-09
train,2,m1,0.16666666666666666,0.00013326274667307977,17,2.8611310756041336e-08
train,2,m1,0.6666666666666666,0.00029130626392400225,18,1.0569059521432371e-11
train,2,m1,0.4166666666666667,1.080724013035394e-05,19,1.0755922380894124e-12
train,2,m1,0.16666666666666666,0.0002486447778918697,20,2.0954135497464774e-11
train,2,m1,0.5833333333333334,0.000319652952204552,21,2.925122889200628e-09
train,2,m1,0.5,1.3735670002219984e-05,22,3.909497529284177e-08
train,2,m1,0.16666666666666666,0.0003712311817214833,23,7.901546254257225e-12
train,2,m1,0.25,0.010734971321784387,24,1.4916568532891278e-11
train,2,m1,0.3333333333333333,0.015419722239368466,25,7.974577462476294e-12
train,2,m1,1.0,0.05649402196285157,26,7.029811337303029e-12
train,2,m1,0.5,0.0003838199782859164,27,5.466109262355522e-09
train,2,m1,0.3333333333333333,4.7901573215451e-05,28,6.178729483112948e-09
train,2,m1,0.3333333333333333,0.0004482794794583841,29,3.630261174524868e-09
train,2,m1,0.8333333333333334,0.06854291880168976,30,3.640830295674624e-09
train,2,m1,0.25,4.306638822070729e-06,31,4.526818935470405e-08
train,2,m1,0.16666666666666666,9.296997665706366e-06,32,7.148833422345443e-09
train,2,m1,0.3333333333333333,0.01475597018535191,33,5.626291159244457e-08
train,2,m1,0.75,0.0003336945255433376,34,2.3735405360082395e-07
train,2,m1,0.16666666666666666,3.09595648704979e-06,35,9.214382569926977e-05
train,2,m1,0.75,0.07620599706777208,36,1.5217077601560897e-07
train,2,m1,0.75,0.07300587374753428,37,3.0112634573027075e-07
train,2,m1,0.3333333333333333,0.007988570364481846,38,1.8539426194272044e-08
train,2,m1,0.8333333333333334,0.08098431148945139,39,6.490855329732618e-07
